address,city,price,numOfBed,numOfBath,fulBathrooms,halfBathrooms,levels,sqft,lotSize,yearBuilt,homeType,typeOwnership,extraFeaturesDescription,neighbourhood,propertySummary,fireplaces,basementArea,taxes,strataFees,amenities,walkscore,daysListed,lastUpdated,images
2765 8th Avenue W,Vancouver,"$2,448,160",5,2,2,0,2,2283,390.19,1900,House/Single Family,,,  Kitsilano,,1,Fully Finished,"6,339",,,95,,,"[""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-2.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-3.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-4.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-5.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-6.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-7.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-8.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-9.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-10.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-11.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-12.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-13.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-14.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-15.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-16.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-17.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-18.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-19.jpg?2016-04-15+17%3A03%3A00"", ""https://photos.zolo.ca/2765-w-8th-avenue-vancouver-R2057922-20.jpg?2016-04-15+17%3A03%3A00""]"
4655 6th Avenue W,Vancouver,"$4,812,860",5,3,2,1,3,3893,692.41,1927,House/Single Family,,,  Point Grey,,1,"Full, Fully Finished","13,054",,,78,,,"[""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-2.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-3.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-4.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-5.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-6.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-7.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-8.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-9.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-10.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-11.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-12.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-13.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-14.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-15.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-16.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-17.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-18.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-19.jpg?2016-04-18+21%3A09%3A00"", ""https://photos.zolo.ca/4655-w-6th-avenue-vancouver-R2057921-20.jpg?2016-04-18+21%3A09%3A00""]"
2208 34th Avenue W,Vancouver,"$7,504,200",6,6,5,1,3,5121,8583,1996,House/Single Family,,,  Quilchena,,1,Full,"14,854",,,82,,,"[""https://photos.zolo.ca/2208-w-34th-avenue-vancouver-R2057910-2.jpg?2016-04-16+04%3A30%3A00"", ""https://photos.zolo.ca/2208-w-34th-avenue-vancouver-R2057910-3.jpg?2016-04-16+04%3A30%3A00"", ""https://photos.zolo.ca/2208-w-34th-avenue-vancouver-R2057910-4.jpg?2016-04-16+04%3A30%3A00"", ""https://photos.zolo.ca/2208-w-34th-avenue-vancouver-R2057910-5.jpg?2016-04-16+04%3A30%3A00"", ""https://photos.zolo.ca/2208-w-34th-avenue-vancouver-R2057910-6.jpg?2016-04-16+04%3A30%3A00"", ""https://photos.zolo.ca/2208-w-34th-avenue-vancouver-R2057910-7.jpg?2016-04-16+04%3A30%3A00"", ""https://photos.zolo.ca/2208-w-34th-avenue-vancouver-R2057910-8.jpg?2016-04-16+04%3A30%3A00"", ""https://photos.zolo.ca/2208-w-34th-avenue-vancouver-R2057910-9.jpg?2016-04-16+04%3A30%3A00"", ""https://photos.zolo.ca/2208-w-34th-avenue-vancouver-R2057910-10.jpg?2016-04-16+04%3A30%3A00""]"
2344 37th Avenue W,Vancouver,"$2,974,600",4,4,3,1,3,3131,4876,1978,House/Single Family,,,  Kerrisdale,,1,None,"7,691",,,84,,,"[""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-2.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-3.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-4.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-5.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-6.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-7.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-8.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-9.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-10.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-11.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-12.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-13.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-14.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-15.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-16.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-17.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-18.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-19.jpg?2016-04-15+19%3A44%3A00"", ""https://photos.zolo.ca/2344-w-37th-avenue-vancouver-R2057886-20.jpg?2016-04-15+19%3A44%3A00""]"
3535 Puget Drive,Vancouver,"$5,334,120",5,5,4,1,3,3828,5500,2015,House/Single Family,,,  Arbutus,,1,Fully Finished,"9,750",,,62,,,"[""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-2.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-3.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-4.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-5.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-6.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-7.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-8.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-9.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-10.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-11.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-12.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-13.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-14.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-15.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-16.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-17.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-18.jpg?2016-04-15+18%3A55%3A00"", ""https://photos.zolo.ca/3535-puget-drive-vancouver-R2057870-19.jpg?2016-04-15+18%3A55%3A00""]"
645 7th Avenue W,Vancouver,"$683,001",1,2,1,1,2,921,0,1988,Townhouse,,,  Fairview Vw,,3,Yes,"1,651",,,96,,,"[""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-2.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-3.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-4.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-5.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-6.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-7.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-8.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-9.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-10.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-11.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-12.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-13.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-14.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-15.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-16.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-17.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-18.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-19.jpg?2016-04-15+20%3A47%3A00"", ""https://photos.zolo.ca/645-w-7th-avenue-vancouver-R2057868-20.jpg?2016-04-15+20%3A47%3A00""]"
1303 Park Drive,Vancouver,"$1,908,720",3,0,0,0,2,1600,487.45,1926,House/Single Family,,,  Marpole,,1,Full,"5,384",,,62,,,"[""https://photos.zolo.ca/1303-park-drive-vancouver-R2057840-2.jpg?2016-04-15+14%3A24%3A00"", ""https://photos.zolo.ca/1303-park-drive-vancouver-R2057840-3.jpg?2016-04-15+14%3A24%3A00"", ""https://photos.zolo.ca/1303-park-drive-vancouver-R2057840-4.jpg?2016-04-15+14%3A24%3A00"", ""https://photos.zolo.ca/1303-park-drive-vancouver-R2057840-5.jpg?2016-04-15+14%3A24%3A00""]"
6592 Maple Street,Vancouver,"$3,849,860",5,5,4,1,3,3329,4420,2005,House/Single Family,,,  Kerrisdale,,1,Fully Finished,"10,816",,,70,,,"[""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-2.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-3.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-4.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-5.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-6.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-7.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-8.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-9.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-10.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-11.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-12.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-13.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-14.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-15.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-16.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-17.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-18.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-19.jpg?2016-04-15+19%3A22%3A00"", ""https://photos.zolo.ca/6592-maple-street-vancouver-R2057837-20.jpg?2016-04-15+19%3A22%3A00""]"
2719 15th Avenue W,Vancouver,"$2,337,950",5,2,2,0,2,2299,0.09,1965,House/Single Family,,,  Kitsilano,,2,"Full, Fully Finished","6,430",,,85,,,"[""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-2.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-3.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-4.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-5.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-6.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-7.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-8.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-9.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-10.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-11.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-12.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-13.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-14.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-15.jpg?2016-04-15+04%3A50%3A00"", ""https://photos.zolo.ca/2719-w-15th-avenue-vancouver-R2057833-16.jpg?2016-04-15+04%3A50%3A00""]"
6222 Mccleery Street,Vancouver,"$4,481,160",5,4,2,2,3,3968,745.64,1957,House/Single Family,,,  Kerrisdale,,3,Full,"11,518",,,56,,,"[""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-2.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-3.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-4.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-5.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-6.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-7.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-8.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-9.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-10.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-11.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-12.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-13.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-14.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-15.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-16.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-17.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-18.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-19.jpg?2016-04-15+00%3A42%3A00"", ""https://photos.zolo.ca/6222-mccleery-street-vancouver-R2057814-20.jpg?2016-04-15+00%3A42%3A00""]"
4553 Fraser Street,Vancouver,"$1,523,412",5,4,4,0,3,2153,0,1910,House/Single Family,,,  Fraser Ve,,0,None,"4,132",,,84,,,"[""//maps.googleapis.com/maps/api/streetview?size=640x480&location=4553%20Fraser%20Street%20%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=4553%20Fraser%20Street%20%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=4553%20Fraser%20Street%20%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
3312 Parker Street,Vancouver,"$1,172,524",4,1,1,0,3,1618,3788.4,1914,House/Single Family,,,  Renfrew Ve,,0,Separate Entry,"3,996",,,68,,,"[""https://photos.zolo.ca/3312-parker-street-vancouver-R2057746-2.jpg?2016-04-14+22%3A24%3A00"", ""https://photos.zolo.ca/3312-parker-street-vancouver-R2057746-3.jpg?2016-04-14+22%3A24%3A00"", ""https://photos.zolo.ca/3312-parker-street-vancouver-R2057746-4.jpg?2016-04-14+22%3A24%3A00""]"
2781 27th Avenue E,Vancouver,"$1,069,200",2,1,1,0,2,1140,3630,1946,House/Single Family,,,  Renfrew Heights,,1,Unfinished,"3,960",,,61,,,"[""https://photos.zolo.ca/2781-e-27th-avenue-vancouver-R2057734-2.jpg?2016-04-14+23%3A58%3A00"", ""https://photos.zolo.ca/2781-e-27th-avenue-vancouver-R2057734-3.jpg?2016-04-14+23%3A58%3A00"", ""https://photos.zolo.ca/2781-e-27th-avenue-vancouver-R2057734-4.jpg?2016-04-14+23%3A58%3A00"", ""https://photos.zolo.ca/2781-e-27th-avenue-vancouver-R2057734-5.jpg?2016-04-14+23%3A58%3A00"", ""https://photos.zolo.ca/2781-e-27th-avenue-vancouver-R2057734-6.jpg?2016-04-14+23%3A58%3A00"", ""https://photos.zolo.ca/2781-e-27th-avenue-vancouver-R2057734-7.jpg?2016-04-14+23%3A58%3A00""]"
477 63rd Avenue W,Vancouver,"$5,227,200",6,4,3,1,3,3660,0,1989,House/Single Family,,,  Marpole,,2,Full,"6,959",,,55,,,"[""//maps.googleapis.com/maps/api/streetview?size=640x480&location=477%2063rd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=477%2063rd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=477%2063rd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
1161 Keefer Street,Vancouver,"$1,829,520",5,2,2,0,3,1745,425.03,1927,House/Single Family,,,  Mount Pleasant Ve,,1,"Full, Partly Finished","4,151",,,92,,,"[""https://photos.zolo.ca/1161-keefer-street-vancouver-R2057710-2.jpg?2016-04-18+22%3A38%3A00""]"
5188 Main Street,Vancouver,"$1,058,230",3,1,0,1,3,1453,,1999,1/2 Duplex,,,  Main,,2,,"3,515",,,84,,,"[""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-2.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-3.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-4.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-5.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-6.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-7.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-8.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-9.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-10.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-11.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-12.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-13.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-14.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-15.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-16.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-17.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-18.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-19.jpg?2016-04-14+21%3A21%3A00"", ""https://photos.zolo.ca/5188-main-street-vancouver-R2057694-20.jpg?2016-04-14+21%3A21%3A00""]"
1250 40th Avenue W,Vancouver,"$5,756,600",6,5,4,1,3,5301,0.19,2005,House/Single Family,,,  Shaughnessy,,1,Full,"17,625",,,75,,,"[""https://www.xstatic.ca/home_photos/59/3442259/1.jpg?2016-04-14+22%3A26%3A00"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=1250%2040th%20Avenue%20W%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=1250%2040th%20Avenue%20W%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=1250%2040th%20Avenue%20W%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
